sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
90.975,399.999999999999,15.0080407204439,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001975,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.976,399.999999999998,15.0080406696698,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001983,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.977,399.999999999998,15.0080406188958,0.0593750000000003,24.9999999912732,-499.999999999998,476.25000000199,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.978,399.999999999998,15.0080405681217,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001998,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.979,399.999999999998,15.0080405173476,0.0593750000000003,24.9999999912731,-499.999999999998,476.250000002007,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.98,399.999999999998,15.0080404665736,0.0593750000000003,24.9999999912732,-499.999999999997,476.250000002015,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.981,399.999999999998,15.0080404157995,0.0593750000000003,24.9999999912732,-499.999999999997,476.250000002024,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.982,399.999999999998,15.0080403650254,0.0593750000000004,24.9999999912731,-499.999999999997,476.250000002033,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.983,399.999999999998,15.0080403142514,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002042,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.984,399.999999999997,15.0080402634773,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002051,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.985,399.999999999997,15.0080402127032,0.0593750000000004,24.9999999912731,-499.999999999997,476.250000002061,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.986,400.000000000003,15.0080401619292,0.0593749999999996,24.9999999912731,-500.000000000004,476.25000000183,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.987,400.000000000009,15.0080401111551,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001587,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.988,400.000000000009,15.008040060381,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001573,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.989,400.000000000006,15.008040009607,0.0593749999999992,24.9999999912732,-500.000000000007,476.250000001676,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.99,400.000000000003,15.0080399588329,0.0593749999999996,24.9999999912731,-500.000000000004,476.250000001785,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.991,400,15.0080399080588,0.0593750000000001,24.9999999912732,-500,476.250000001909,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.992,400,15.0080398572848,0.0593750000000001,24.9999999912732,-500,476.250000001914,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.993,400,15.0080398065107,0.0593750000000001,24.9999999912732,-499.999999999999,476.25000000192,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
